hostname,ip,os,ram_gb,department,last_update
lt-88.zimmerman.com,192.168.239.75,CentOS 7,16,IT,2023-08-12
web-45.johnson.biz,10.23.101.59,Windows Server 2019,64,Marketing,2026-02-20
srv-64.ingram-juarez.com,10.67.90.186,Windows Server 2019,2,Marketing,2024-06-16
email-70.smith.com,10.28.198.120,Windows Server 2022,2,Seguridad,2026-03-18
web-92.smith-decker.com,172.16.113.97,Ubuntu 22.04,64,IT,2025-04-23
web-06.thompson.info,172.16.204.208,Windows Server 2019,32,Seguridad,2025-01-08
db-73.valentine-white.com,172.19.86.196,Windows Server 2022,32,RRHH,2025-03-09
desktop-16.bass.com,172.26.208.199,Ubuntu 22.04,32,Finanzas,2024-01-26
desktop-97.whitaker.info,172.22.214.222,Windows Server 2022,16,Finanzas,2024-03-20
web-14.frank.com,10.52.191.136,CentOS 7,8,Marketing,2025-04-27
web-13.white.com,10.68.78.165,Windows Server 2019,32,Operaciones,2025-02-10
srv-73.jones.com,192.168.243.158,Ubuntu 22.04,32,Seguridad,2024-03-27
laptop-11.campbell-white.com,192.168.196.28,Debian 11,2,Finanzas,2024-02-10
web-54.brooks-smith.com,10.52.124.42,Windows Server 2022,8,Operaciones,2023-06-25
desktop-04.brown.biz,10.116.183.198,Windows Server 2019,64,Operaciones,2023-07-04
db-46.green.org,10.32.38.90,CentOS 7,64,IT,2025-09-10
db-39.keller.com,172.16.136.187,Windows Server 2022,32,IT,2024-11-09
desktop-89.hodge.com,192.168.166.155,Windows Server 2022,8,Marketing,2024-03-24
web-46.davidson.com,172.20.145.242,Debian 11,64,Marketing,2025-03-09
desktop-04.rodriguez.com,192.168.193.72,Windows Server 2022,16,RRHH,2024-05-23
desktop-05.underwood.info,192.168.245.107,Ubuntu 22.04,64,Marketing,2023-12-02
laptop-96.clark.com,172.25.151.204,Ubuntu 22.04,32,Marketing,2025-07-13
srv-04.williams.net,192.168.91.207,Windows Server 2019,32,IT,2025-03-18
desktop-66.richard.com,10.186.5.135,Windows Server 2022,16,Marketing,2025-12-11
db-43.evans-williams.com,192.168.159.50,Ubuntu 22.04,64,Seguridad,2025-03-17
laptop-41.ballard-watson.com,192.168.136.187,Windows Server 2019,32,Seguridad,2023-09-27
lt-65.bond.com,192.168.95.55,CentOS 7,8,RRHH,2025-11-03
web-36.johnson.com,172.26.220.94,CentOS 7,32,IT,2023-09-05
laptop-26.morse.org,10.68.0.107,Windows Server 2019,2,Seguridad,2024-08-05
desktop-02.frye.info,172.28.42.182,Ubuntu 22.04,32,Seguridad,2025-08-27
srv-85.morgan.com,192.168.54.21,Ubuntu 22.04,8,Seguridad,2024-10-29
email-58.mason.com,172.19.188.74,Debian 11,8,Operaciones,2024-02-02
web-19.meza.com,192.168.210.21,Windows Server 2022,2,Operaciones,2023-08-21
laptop-23.ritter-mosley.com,192.168.7.88,Debian 11,32,Finanzas,2023-09-27
web-98.ingram.com,192.168.28.85,CentOS 7,4,Finanzas,2025-01-12
desktop-29.neal.info,192.168.64.110,Ubuntu 22.04,64,Marketing,2024-09-01
desktop-04.bowman.com,192.168.144.90,Windows Server 2022,32,Seguridad,2025-12-21
web-10.marshall-bridges.info,192.168.97.148,Windows Server 2022,32,Finanzas,2026-02-03
laptop-83.rogers-shah.biz,10.66.139.205,Windows Server 2019,64,Finanzas,2024-02-15
email-51.gonzalez-george.biz,192.168.55.175,Windows Server 2019,8,Finanzas,2025-04-10
email-09.torres.com,10.86.170.98,CentOS 7,16,RRHH,2024-09-23
lt-34.ferguson-cohen.com,10.103.162.152,Ubuntu 22.04,2,Marketing,2026-03-09
srv-30.allen.com,192.168.184.89,Debian 11,2,IT,2024-10-10
db-08.wagner-bennett.net,192.168.59.198,Debian 11,32,Operaciones,2024-11-23
srv-30.morris.com,172.29.250.135,Ubuntu 22.04,64,Finanzas,2023-11-05
web-00.barnett.com,192.168.89.131,Debian 11,32,Marketing,2024-02-13
desktop-37.zhang.com,10.114.77.212,CentOS 7,64,Operaciones,2024-08-04
srv-37.evans-spears.com,192.168.139.62,CentOS 7,16,RRHH,2024-09-20
desktop-65.perez-brooks.com,172.26.0.62,Windows Server 2022,32,Seguridad,2024-10-18
laptop-09.cruz-ramirez.com,10.46.244.212,Ubuntu 22.04,32,Seguridad,2026-02-14
desktop-82.mclaughlin.com,10.249.161.156,Windows Server 2022,64,IT,2024-12-30
lt-61.burke-phelps.com,172.28.185.73,Debian 11,4,Seguridad,2023-11-24
email-91.hernandez.net,192.168.66.59,Ubuntu 22.04,64,RRHH,2024-07-31
desktop-64.rowe-hayes.com,172.24.185.230,Windows Server 2019,64,Seguridad,2023-06-20
db-37.crane.net,10.171.225.111,Debian 11,4,IT,2025-09-12
lt-28.cunningham-marshall.info,172.17.124.254,CentOS 7,16,Marketing,2025-08-09
desktop-95.villa.biz,192.168.170.203,Windows Server 2019,8,RRHH,2024-12-11
srv-36.tanner.com,172.31.207.130,Windows Server 2022,2,RRHH,2025-02-20
srv-29.kennedy.com,192.168.33.216,Debian 11,32,IT,2025-02-11
db-96.ballard.info,10.143.93.159,Debian 11,16,Marketing,2025-10-20
lt-07.watson.com,192.168.159.253,Windows Server 2022,8,Finanzas,2024-09-23
desktop-03.santana-burns.org,10.67.84.86,Ubuntu 22.04,2,Finanzas,2024-03-05
srv-85.thomas-martin.com,10.186.242.213,Debian 11,32,Seguridad,2024-10-22
desktop-80.brown.com,192.168.67.172,CentOS 7,8,Marketing,2023-05-31
db-46.webb-gilbert.net,192.168.89.60,Debian 11,8,Operaciones,2025-02-22
laptop-74.carter-hogan.com,192.168.172.108,CentOS 7,2,Marketing,2026-01-11
db-07.maxwell.info,10.31.139.118,Ubuntu 22.04,16,Operaciones,2024-02-02
desktop-94.boyd-andrews.com,10.243.59.186,Windows Server 2022,32,IT,2024-10-30
email-93.harvey.com,192.168.37.77,Windows Server 2022,32,Seguridad,2024-11-25
desktop-27.davis.info,172.29.86.38,CentOS 7,64,RRHH,2026-04-05
db-44.johnson.com,172.23.249.146,Windows Server 2019,4,RRHH,2024-10-04
desktop-29.thompson.com,192.168.55.50,CentOS 7,32,Seguridad,2023-12-08
email-83.washington.biz,10.45.57.186,Ubuntu 22.04,4,Finanzas,2025-10-15
email-22.schmidt.com,10.2.103.38,Windows Server 2022,32,Finanzas,2024-06-16
web-68.thomas.com,192.168.133.171,Debian 11,16,Marketing,2024-12-25
lt-58.chapman.com,172.17.71.185,Debian 11,2,Finanzas,2024-05-04
lt-54.jones-ortiz.org,172.30.162.134,Windows Server 2019,4,RRHH,2025-12-05
lt-75.gray.net,10.243.9.36,Debian 11,4,Marketing,2024-11-05
srv-77.davis.info,192.168.200.88,Windows Server 2019,64,Operaciones,2023-12-05
email-13.cook.info,10.104.191.82,Windows Server 2019,4,Marketing,2024-06-17
email-03.brewer.info,172.22.96.84,Ubuntu 22.04,8,IT,2024-10-31
lt-68.mason.com,192.168.66.171,Ubuntu 22.04,16,RRHH,2024-04-01
srv-24.jensen.info,172.17.232.133,Ubuntu 22.04,16,RRHH,2025-07-20
srv-70.cross.com,192.168.170.231,Windows Server 2019,16,Seguridad,2024-06-05
laptop-34.gonzalez-ross.com,172.21.73.218,Ubuntu 22.04,32,Finanzas,2025-01-31
desktop-25.hill-mcguire.com,172.30.219.140,Windows Server 2022,32,RRHH,2024-08-16
db-62.williams-clark.com,10.55.99.120,Ubuntu 22.04,4,Marketing,2025-09-25
email-08.butler-long.com,192.168.171.181,CentOS 7,32,Seguridad,2023-10-02
web-63.thomas-foster.com,10.162.3.134,Windows Server 2019,2,Finanzas,2024-12-14
email-82.mitchell-trevino.org,10.192.202.88,Debian 11,32,Seguridad,2026-03-07
srv-47.parker.com,10.157.211.230,Windows Server 2019,8,Operaciones,2023-05-27
db-99.jackson.com,192.168.17.37,Debian 11,64,IT,2024-11-02
srv-73.mcdaniel.org,10.11.96.42,Windows Server 2022,4,Seguridad,2024-03-10
lt-12.morales.com,10.82.208.20,CentOS 7,64,IT,2025-07-23
desktop-21.lewis-hughes.net,172.18.192.40,Windows Server 2022,4,Seguridad,2023-09-20
web-72.lowe.com,172.19.20.138,Windows Server 2022,16,Operaciones,2023-12-08
web-76.martin.info,192.168.226.61,Windows Server 2022,4,Seguridad,2024-08-11
email-15.leonard-graham.org,172.16.15.43,Windows Server 2022,2,Finanzas,2023-11-22
web-02.navarro-king.com,192.168.8.198,Ubuntu 22.04,32,IT,2025-07-09
lt-37.brown.biz,10.176.62.164,Windows Server 2022,2,Seguridad,2024-02-27
email-40.miller-molina.com,192.168.145.13,Windows Server 2019,16,RRHH,2024-01-18
lt-99.coleman.com,172.22.227.19,Ubuntu 22.04,4,Marketing,2025-09-02
laptop-38.martinez.info,172.17.63.132,Debian 11,16,Seguridad,2024-12-29
laptop-44.clayton.com,172.29.145.9,Ubuntu 22.04,16,IT,2025-08-31
email-18.lopez.com,172.24.95.4,CentOS 7,4,Finanzas,2024-12-30
desktop-65.roberts.info,172.24.180.99,CentOS 7,4,IT,2023-09-06
lt-12.norton-walton.com,192.168.254.208,Ubuntu 22.04,64,Marketing,2023-08-06
email-82.smith.net,192.168.58.100,Ubuntu 22.04,2,Seguridad,2024-06-16
db-66.evans-ray.info,172.24.244.253,Windows Server 2019,32,Operaciones,2025-05-15
laptop-42.garcia.net,10.53.135.71,CentOS 7,64,Marketing,2024-07-23
web-96.smith.com,172.20.224.192,Windows Server 2022,16,RRHH,2026-05-13
lt-51.collier-rose.com,192.168.245.118,Windows Server 2019,64,RRHH,2023-12-10
desktop-19.mendoza-brown.biz,10.74.86.14,CentOS 7,4,IT,2024-07-24
desktop-20.garcia-garza.com,10.168.85.190,Debian 11,16,IT,2023-10-21
db-13.riley.com,192.168.97.113,Ubuntu 22.04,32,Seguridad,2025-02-11
desktop-04.jones.info,10.164.193.80,CentOS 7,4,Marketing,2026-05-01
lt-11.olsen-simmons.net,172.24.156.217,Windows Server 2022,32,Operaciones,2024-06-02
db-03.griffin.info,172.17.201.52,Windows Server 2019,8,RRHH,2025-04-03
desktop-37.fox.com,192.168.85.233,Ubuntu 22.04,2,IT,2024-06-07
web-14.moore.com,192.168.103.211,Windows Server 2019,4,Operaciones,2026-03-20
web-56.chan.com,192.168.164.168,Windows Server 2019,32,Marketing,2026-02-02
srv-22.taylor.net,192.168.97.50,CentOS 7,64,RRHH,2025-11-04
email-53.berry.com,10.235.178.9,Debian 11,64,Operaciones,2024-07-30
web-76.hays.info,172.29.52.144,Windows Server 2019,2,RRHH,2025-08-10
lt-08.herman.com,10.105.174.255,Windows Server 2019,64,Marketing,2025-11-17
srv-22.sanchez.com,192.168.132.4,Debian 11,2,Finanzas,2024-02-11
desktop-05.ferguson.com,192.168.43.156,Debian 11,64,Marketing,2023-06-25
db-15.cooley.biz,10.213.102.66,Debian 11,32,Marketing,2023-07-31
laptop-86.barton.net,192.168.206.153,Windows Server 2022,8,Seguridad,2025-04-27
db-16.perez.com,10.62.159.178,Ubuntu 22.04,2,Marketing,2025-05-03
laptop-88.vega.com,192.168.27.82,Windows Server 2022,2,Seguridad,2023-06-02
web-93.garrison-page.com,172.23.12.75,Ubuntu 22.04,16,RRHH,2024-06-15
web-00.nelson.com,172.24.164.30,Ubuntu 22.04,2,Seguridad,2023-10-02
web-81.henry.com,172.19.185.67,Debian 11,16,IT,2023-05-31
email-58.mercado.com,10.221.57.153,Ubuntu 22.04,8,Finanzas,2024-06-21
email-04.love.biz,192.168.202.170,Windows Server 2019,8,Seguridad,2025-03-18
web-58.davidson-harris.com,10.234.207.205,Windows Server 2022,8,Finanzas,2025-05-08
laptop-68.reyes.com,10.142.174.228,Windows Server 2022,64,Marketing,2023-06-01
laptop-97.armstrong.biz,172.30.44.250,CentOS 7,2,IT,2023-12-22
srv-76.banks.com,10.113.232.238,Windows Server 2019,32,Operaciones,2024-09-30
desktop-90.pierce.com,172.21.221.224,Ubuntu 22.04,64,RRHH,2025-02-09
web-82.huerta.com,192.168.119.243,Windows Server 2022,64,Seguridad,2023-09-22
email-05.gonzales.com,172.16.54.101,Ubuntu 22.04,4,RRHH,2025-02-21
lt-71.walls-wiggins.org,10.172.225.171,Windows Server 2019,64,Marketing,2025-01-10
email-00.ortiz-bishop.info,192.168.134.228,Ubuntu 22.04,16,Marketing,2026-01-13
srv-60.collins.com,172.16.247.152,Debian 11,8,RRHH,2025-02-25
srv-78.rodriguez.com,172.18.48.248,CentOS 7,8,IT,2025-12-08
email-31.pierce.com,192.168.82.30,Ubuntu 22.04,16,Operaciones,2023-07-07
db-87.smith.info,172.28.12.159,Windows Server 2022,4,Seguridad,2024-06-24
email-99.johnson.net,172.25.175.7,Ubuntu 22.04,4,RRHH,2023-08-08
web-12.gomez.info,172.18.40.127,CentOS 7,2,Finanzas,2025-02-16
desktop-68.white.com,10.77.189.168,Ubuntu 22.04,4,Marketing,2025-02-24
srv-46.wright-mckenzie.org,192.168.231.124,Windows Server 2019,2,Marketing,2026-03-29
web-24.mitchell.com,192.168.244.72,Windows Server 2019,32,Finanzas,2025-07-24
web-00.moore-brewer.org,172.25.68.77,Debian 11,4,Operaciones,2025-01-15
desktop-44.mendoza.com,172.31.98.66,Debian 11,32,Finanzas,2025-01-03
srv-83.glass.com,172.19.125.180,Windows Server 2022,64,Operaciones,2026-05-22
web-28.moore.com,172.26.22.73,Windows Server 2022,32,Finanzas,2023-07-05
lt-20.martinez.com,192.168.88.156,CentOS 7,16,Marketing,2024-03-08
srv-26.adkins.com,192.168.127.198,Ubuntu 22.04,4,Marketing,2026-04-29
srv-37.woodward.com,192.168.2.112,Windows Server 2022,64,RRHH,2025-03-08
db-50.blackwell.net,10.79.225.246,Windows Server 2022,2,Operaciones,2025-07-04
db-13.burch.info,172.29.93.107,Debian 11,8,Operaciones,2024-10-10
lt-77.baker.com,10.113.99.232,CentOS 7,2,RRHH,2025-02-02
email-08.frazier.net,192.168.237.122,Windows Server 2019,32,Finanzas,2026-03-16
desktop-75.todd.net,10.79.235.210,Windows Server 2019,2,Marketing,2024-06-18
laptop-54.turner.info,172.17.214.64,Windows Server 2022,4,Operaciones,2024-06-30
web-98.christian.com,172.31.144.215,Debian 11,4,Finanzas,2025-12-17
laptop-74.wilson.com,192.168.213.237,Debian 11,8,RRHH,2023-12-29
web-97.torres-harding.com,192.168.71.143,Ubuntu 22.04,64,Marketing,2023-09-10
laptop-18.diaz.com,10.33.54.99,CentOS 7,32,RRHH,2025-08-13
web-66.lopez.com,172.23.11.75,Ubuntu 22.04,2,Marketing,2024-12-12
db-43.lambert.com,10.62.147.26,CentOS 7,4,IT,2025-07-31
email-68.jensen.com,172.23.198.242,Ubuntu 22.04,4,Marketing,2024-03-09
email-20.edwards-nguyen.org,10.39.5.243,CentOS 7,64,Marketing,2025-06-17
laptop-66.davis.com,192.168.44.81,CentOS 7,64,Finanzas,2023-08-28
laptop-17.jackson-brown.com,172.22.193.40,Windows Server 2022,16,Seguridad,2024-02-15
db-10.stevens.info,172.31.15.192,Windows Server 2022,16,IT,2024-02-20
email-25.davis-miller.info,192.168.111.152,CentOS 7,2,IT,2025-05-29
srv-92.anderson.com,10.211.95.130,Windows Server 2019,16,Seguridad,2025-06-29
desktop-05.raymond-clarke.com,10.61.162.45,Debian 11,64,Finanzas,2023-09-27
laptop-67.gutierrez.com,192.168.235.234,Windows Server 2022,32,IT,2025-11-06
srv-73.salas.net,10.232.118.214,Windows Server 2019,32,Seguridad,2025-12-20
email-19.mathews.net,10.200.101.88,Windows Server 2022,2,Marketing,2026-04-06
srv-99.ward.com,10.251.93.53,Windows Server 2019,2,Finanzas,2026-04-19
email-88.ford.biz,172.23.154.209,Debian 11,2,Operaciones,2023-10-25
email-28.wells.com,172.18.101.101,Windows Server 2019,32,Operaciones,2026-02-02
srv-91.hall-santos.com,172.25.172.125,Windows Server 2022,64,Marketing,2025-05-14
db-24.gonzalez.biz,172.21.187.245,CentOS 7,8,Marketing,2025-06-21
db-65.welch-cox.com,192.168.249.143,Windows Server 2019,32,RRHH,2024-06-14
laptop-91.woodward.com,10.109.154.85,Windows Server 2019,4,Marketing,2023-07-01
srv-43.cabrera-owen.com,192.168.200.195,Windows Server 2019,2,RRHH,2024-03-27
laptop-76.mills-brown.com,172.25.48.65,Debian 11,64,Marketing,2025-05-16
email-12.smith.info,192.168.148.12,Windows Server 2019,8,IT,2025-08-02
web-80.ford.com,10.11.243.188,CentOS 7,16,IT,2025-09-28
db-89.clark.info,10.68.157.16,Windows Server 2022,16,Seguridad,2023-12-24
email-58.blackburn.com,192.168.143.10,Windows Server 2022,4,Seguridad,2023-12-28
db-95.nelson-trujillo.com,10.21.68.20,CentOS 7,2,IT,2023-06-24
web-31.washington.info,10.251.232.198,CentOS 7,16,IT,2025-08-09
laptop-25.allen.com,10.58.135.25,Windows Server 2019,64,Operaciones,2025-12-18
laptop-19.castillo.com,192.168.48.190,CentOS 7,32,RRHH,2023-10-09
db-10.figueroa.org,10.97.72.125,Debian 11,2,Seguridad,2026-02-13
email-18.price.biz,192.168.155.170,CentOS 7,32,IT,2024-10-08
laptop-22.lewis-medina.com,172.24.50.91,Ubuntu 22.04,16,Marketing,2026-05-22
lt-05.anderson.com,192.168.137.113,CentOS 7,8,Seguridad,2025-06-21
srv-49.foster-lee.net,172.18.120.208,Windows Server 2019,32,Seguridad,2023-10-17
srv-08.wagner-davis.com,192.168.178.51,Ubuntu 22.04,16,Seguridad,2026-05-25
db-29.floyd-boyd.org,192.168.188.251,CentOS 7,8,Operaciones,2023-09-19
laptop-13.santos.com,10.170.4.65,Windows Server 2022,8,Seguridad,2026-03-01
srv-79.madden.info,192.168.183.148,Debian 11,4,Finanzas,2025-02-04
db-56.lewis.com,192.168.56.48,CentOS 7,16,Operaciones,2024-07-14
web-65.middleton.com,192.168.54.209,Debian 11,32,Marketing,2026-02-26
srv-70.harris-martin.com,172.21.64.181,Windows Server 2022,4,RRHH,2023-08-04
lt-09.esparza.com,10.159.186.185,Debian 11,32,RRHH,2023-11-17
srv-47.hanson.com,172.31.129.87,Ubuntu 22.04,16,Seguridad,2024-06-26
desktop-77.webb-bryant.net,172.28.6.70,Ubuntu 22.04,16,IT,2024-12-02
desktop-46.jarvis.com,172.19.214.204,Windows Server 2019,8,IT,2024-01-14
laptop-06.thomas-martin.net,10.192.209.164,Debian 11,4,Operaciones,2025-12-07
db-64.french.com,192.168.248.247,Windows Server 2022,32,RRHH,2026-01-12
email-87.perez-weaver.com,10.147.200.55,Windows Server 2022,64,Finanzas,2024-01-17
web-61.davis-gonzalez.info,10.94.221.243,Ubuntu 22.04,32,RRHH,2025-02-28
email-22.gonzales-williams.com,10.244.112.181,Windows Server 2019,2,Seguridad,2023-12-14
desktop-78.ferguson-snyder.net,10.199.188.47,Windows Server 2019,2,IT,2025-01-12
desktop-14.williams.com,10.148.18.13,Debian 11,64,Finanzas,2023-07-28
email-13.moon.com,172.31.56.111,Ubuntu 22.04,64,RRHH,2025-10-08
web-86.hamilton.net,10.122.37.173,Debian 11,32,Marketing,2025-12-04
laptop-75.rodgers.org,192.168.171.242,Windows Server 2019,8,Marketing,2025-04-20
laptop-17.lambert.biz,172.25.34.18,Windows Server 2022,2,Seguridad,2024-03-14
desktop-59.perez.net,192.168.93.61,Windows Server 2019,8,Operaciones,2025-08-13
db-86.robinson.org,10.182.19.10,Windows Server 2022,8,IT,2025-12-23
web-20.brooks-smith.com,10.250.199.201,CentOS 7,8,Marketing,2023-10-18
web-38.johnston.com,172.27.193.33,Ubuntu 22.04,4,Finanzas,2026-01-18
srv-21.young.info,172.30.18.69,Debian 11,4,Marketing,2025-03-18
srv-77.wallace.info,10.49.151.62,Windows Server 2022,64,Seguridad,2023-08-30
srv-33.anderson-hall.com,10.103.37.16,Windows Server 2019,32,RRHH,2025-07-31
laptop-62.garcia.com,192.168.205.201,Debian 11,32,Finanzas,2025-05-31
email-04.sparks-page.com,192.168.184.133,Ubuntu 22.04,64,IT,2023-08-19
db-87.orr-cooper.org,192.168.71.99,Windows Server 2019,8,RRHH,2024-02-24
srv-27.jensen-thomas.com,192.168.74.27,Windows Server 2019,16,Finanzas,2026-02-01
lt-08.baker.com,172.29.204.19,Windows Server 2022,2,Finanzas,2024-03-15
db-24.huynh.com,10.90.2.239,Windows Server 2019,64,Marketing,2024-12-30
srv-45.skinner.net,10.163.70.54,CentOS 7,32,Operaciones,2024-08-09
db-47.graham.com,10.82.128.58,Windows Server 2022,8,Marketing,2024-11-15
laptop-26.franklin.biz,10.36.110.104,Windows Server 2019,64,Seguridad,2023-11-27
email-93.gonzalez.com,172.30.20.98,Ubuntu 22.04,8,IT,2025-02-16
web-74.bennett.com,192.168.109.22,Windows Server 2022,64,Marketing,2023-11-13
laptop-51.graham.net,192.168.214.134,Windows Server 2019,4,Finanzas,2023-05-29
srv-55.howard-callahan.org,10.109.213.239,Ubuntu 22.04,64,Operaciones,2026-03-08
db-55.mcintyre-alexander.com,10.129.10.117,Debian 11,16,RRHH,2025-12-04
web-57.clark.com,172.23.232.142,Debian 11,64,Marketing,2026-01-08
web-66.porter.info,192.168.171.94,Windows Server 2019,16,Marketing,2026-01-06
srv-74.crosby-walker.com,192.168.69.192,Windows Server 2022,16,IT,2024-01-17
lt-62.smith.com,10.102.240.68,Windows Server 2022,4,IT,2024-04-13
laptop-90.walker.biz,192.168.199.144,Ubuntu 22.04,64,RRHH,2023-11-04
db-56.cook-smith.com,172.20.42.35,CentOS 7,32,Finanzas,2024-08-23
web-51.ross-scott.com,192.168.89.36,Ubuntu 22.04,16,Operaciones,2024-05-09
laptop-94.nunez-ward.com,172.16.122.179,Debian 11,4,RRHH,2024-03-28
laptop-39.chung-bowers.com,192.168.134.2,Debian 11,32,RRHH,2023-11-13
web-88.mayer.org,192.168.110.208,Windows Server 2019,2,Finanzas,2024-11-07
db-88.russell.com,10.78.122.52,CentOS 7,8,Seguridad,2025-06-19
lt-32.mccarthy-camacho.com,10.202.159.219,Ubuntu 22.04,64,RRHH,2025-02-23
srv-89.marshall.com,10.7.3.183,Windows Server 2022,4,RRHH,2025-02-26
db-74.holmes.com,10.85.185.251,Windows Server 2019,32,IT,2024-11-17
desktop-89.ortiz.com,192.168.222.85,Ubuntu 22.04,4,Operaciones,2023-12-28
email-35.martinez.info,172.24.99.136,Windows Server 2022,2,Finanzas,2026-03-22
desktop-20.evans.com,192.168.183.3,Debian 11,2,RRHH,2024-10-06
desktop-41.jones.net,192.168.108.177,Windows Server 2022,2,Operaciones,2024-01-20
desktop-28.reed-smith.com,172.20.170.4,CentOS 7,16,Finanzas,2024-02-20
web-97.baker.net,10.98.22.254,CentOS 7,8,Finanzas,2024-07-05
desktop-70.smith.net,10.251.191.50,CentOS 7,8,Finanzas,2024-01-06
lt-32.jenkins-fleming.com,10.139.94.36,Ubuntu 22.04,8,IT,2025-11-09
web-97.lowe-evans.com,10.21.68.234,Windows Server 2019,4,Seguridad,2024-03-21
email-16.todd-patrick.info,192.168.98.26,Windows Server 2022,32,IT,2025-01-21
srv-56.willis-clark.info,10.26.68.122,Windows Server 2019,4,Operaciones,2023-09-17
web-13.davies.net,192.168.210.144,CentOS 7,16,Finanzas,2026-04-27
email-38.martinez.com,172.26.159.133,Ubuntu 22.04,8,Operaciones,2025-09-29
web-38.hebert.com,172.16.180.180,CentOS 7,2,RRHH,2025-12-18
email-70.jones.org,192.168.147.47,Windows Server 2022,16,Seguridad,2023-08-02
web-95.knight.info,192.168.35.179,Windows Server 2022,4,Finanzas,2025-01-05
srv-52.walters.com,172.24.59.172,CentOS 7,64,RRHH,2024-10-23
web-92.mooney-duarte.com,172.23.144.91,CentOS 7,2,RRHH,2024-10-23
web-42.bowman.com,10.118.6.156,Debian 11,32,Operaciones,2025-09-26
srv-79.espinoza.com,10.74.54.234,Windows Server 2022,4,Marketing,2023-09-24
email-61.green.com,172.28.180.248,Windows Server 2022,64,Marketing,2024-05-27
desktop-11.cunningham.com,192.168.252.1,Debian 11,32,IT,2025-07-09
desktop-81.jordan.net,192.168.236.80,Debian 11,32,IT,2023-07-23
